,Name,Latitude,Longitude,International Airport: Name,International Airport: Distance,Train station: Name,Train station: Distance,Nightclub: Name,Nightclub: Distance,Pet grooming: Name,Pet grooming: Distance,Vegan restaurant: Name,Vegan restaurant: Distance,Basketball stadium: Name,Basketball stadium: Distance,Design studio: Name,Design studio: Distance,Daycare: Name,Daycare: Distance,Preschool: Name,Preschool: Distance,High school: Name,High school: Distance
50,[212]Media,40.743877,-73.98618,John F. Kennedy International Airport (JFK),20220,Moynihan Train Hall,1090,Birdland,1701,BeastyFeast,1538,Sweetgreen,773,Stuyvesant Town Basketball Courts,1390,Rivington Design House,2693,Pierce Country Day School Camp,28469,Williamsburg Northside Preschool,3818,Fiorello H. LaGuardia High School,3354
51,Saavn,40.743877,-73.98618,John F. Kennedy International Airport (JFK),20220,Moynihan Train Hall,1090,Birdland,1701,BeastyFeast,1538,Sweetgreen,773,Stuyvesant Town Basketball Courts,1390,Rivington Design House,2693,Pierce Country Day School Camp,28469,Williamsburg Northside Preschool,3818,Fiorello H. LaGuardia High School,3354
52,Moogi,40.7217861,-74.0094471,John F. Kennedy International Airport (JFK),20774,Moynihan Train Hall,3474,The Up and Up,1159,BeastyFeast,2120,Metrograph,1724,Stuyvesant Town Basketball Courts,2785,Rivington Design House,1172,Westfield Area Y,29994,Williamsburg Northside Preschool,4316,Fiorello H. LaGuardia High School,6161
53,JumpTV,40.705898,-74.011398,John F. Kennedy International Airport (JFK),20271,Moynihan Train Hall,5206,The Royal Palms Shuffleboard Club,3652,BeastyFeast,3885,Sweetgreen,264,Stuyvesant Town Basketball Courts,3989,Rivington Design House,2117,Westfield Area Y,29418,Williamsburg Northside Preschool,4597,Fiorello H. LaGuardia High School,7892
54,Cellufun,40.73993,-73.9930489,John F. Kennedy International Airport (JFK),20480,Moynihan Train Hall,1248,Village Vanguard,838,BeastyFeast,912,Sweetgreen,258,Stuyvesant Town Basketball Courts,1412,Rivington Design House,2146,Pierce Country Day School Camp,29126,Williamsburg Northside Preschool,3888,Fiorello H. LaGuardia High School,3851
55,SpiralFrog,37.09024,-95.712891,,,Union Pacific Railroad Co.,9378,Caesar's Dance Hall,8235,The Pet Shop,12576,,,,,Bamajr,11094,Pirate Cove Academy Childcare,11773,Head Start,14388,Field Kindley High School,9237
56,OMGPOP,40.723384,-74.001704,John F. Kennedy International Airport (JFK),20256,Moynihan Train Hall,3128,The Up and Up,715,BeastyFeast,1899,Metrograph,1294,Stuyvesant Town Basketball Courts,2123,Rivington Design House,593,Chinatown Day Care Center,1158,Williamsburg Northside Preschool,3703,Fiorello H. LaGuardia High School,5802
57,SwitchGames,40.7297485,-73.9867361,John F. Kennedy International Airport (JFK),19455,Moynihan Train Hall,2469,Village Vanguard,1422,BeastyFeast,1865,Sweetgreen,998,Stuyvesant Town Basketball Courts,678,Rivington Design House,1250,Pierce Country Day School Camp,28871,Williamsburg Northside Preschool,2781,Fiorello H. LaGuardia High School,4924
58,Crispy Gamer,40.750597,-73.985273,John F. Kennedy International Airport (JFK),20571,Moynihan Train Hall,819,Birdland,999,BeastyFeast,1932,Sweetgreen,1480,Stuyvesant Town Basketball Courts,2076,Rivington Design House,3432,Pierce Country Day School Camp,28253,Williamsburg Northside Preschool,4395,Fiorello H. LaGuardia High School,2606
59,MindSmack,40.758492,-73.989987,John F. Kennedy International Airport (JFK),21402,Moynihan Train Hall,926,Birdland,61,BeastyFeast,2325,Sweetgreen,2272,Stuyvesant Town Basketball Courts,3027,Rivington Design House,4224,Pierce Country Day School Camp,28504,Williamsburg Northside Preschool,5353,Fiorello H. LaGuardia High School,1778
